valid_time,latitude,longitude,duct_height_m,flag
2012-03-08 12:00:00,17.0,71.0,14.076315789473686,
2012-03-08 13:00:00,17.0,71.0,14.276691729323309,
2012-03-08 14:00:00,17.0,71.0,14.477067669172934,
2012-03-08 15:00:00,17.0,71.0,14.276691729323309,
2012-03-08 16:00:00,17.0,71.0,14.276691729323309,
2012-03-08 17:00:00,17.0,71.0,14.477067669172934,
2012-03-08 18:00:00,17.0,71.0,14.477067669172934,
2012-03-08 19:00:00,17.0,71.0,14.677443609022557,
2012-03-08 20:00:00,17.0,71.0,14.677443609022557,
2012-03-08 21:00:00,17.0,71.0,14.677443609022557,
2012-03-08 22:00:00,17.0,71.0,12.874060150375941,
2012-03-08 23:00:00,17.0,71.0,13.074436090225564,
2012-03-09 00:00:00,17.0,71.0,13.475187969924812,
2012-03-09 01:00:00,17.0,71.0,13.675563909774437,
2012-03-09 02:00:00,17.0,71.0,14.276691729323309,
2012-03-09 03:00:00,17.0,71.0,14.677443609022557,
2012-03-09 04:00:00,17.0,71.0,14.677443609022557,
2012-03-09 05:00:00,17.0,71.0,13.87593984962406,
2012-03-09 06:00:00,17.0,71.0,13.074436090225564,
2012-03-09 07:00:00,17.0,71.0,12.673684210526318,
2012-03-09 08:00:00,17.0,71.0,13.27481203007519,
2012-03-09 09:00:00,17.0,71.0,14.076315789473686,
2012-03-09 10:00:00,17.0,71.0,14.076315789473686,
2012-03-09 11:00:00,17.0,71.0,13.675563909774437,
2012-03-09 12:00:00,17.0,71.0,14.076315789473686,
2012-03-09 13:00:00,17.0,71.0,16.480827067669175,
2012-03-09 14:00:00,17.0,71.0,17.28233082706767,
2012-03-09 15:00:00,17.0,71.0,17.28233082706767,
2012-03-09 16:00:00,17.0,71.0,17.482706766917296,
2012-03-09 17:00:00,17.0,71.0,17.28233082706767,
2012-03-09 18:00:00,17.0,71.0,16.88157894736842,
2012-03-09 19:00:00,17.0,71.0,17.081954887218046,
2012-03-09 20:00:00,17.0,71.0,17.883458646616543,
2012-03-09 21:00:00,17.0,71.0,18.284210526315793,
2012-03-09 22:00:00,17.0,71.0,16.88157894736842,
2012-03-09 23:00:00,17.0,71.0,17.081954887218046,
2012-03-10 00:00:00,17.0,71.0,17.28233082706767,
2012-03-10 01:00:00,17.0,71.0,17.081954887218046,
2012-03-10 02:00:00,17.0,71.0,16.88157894736842,
2012-03-10 03:00:00,17.0,71.0,16.6812030075188,
2012-03-10 04:00:00,17.0,71.0,16.480827067669175,
2012-03-10 05:00:00,17.0,71.0,16.28045112781955,
2012-03-10 06:00:00,17.0,71.0,16.28045112781955,
2012-03-10 07:00:00,17.0,71.0,16.480827067669175,
2012-03-10 08:00:00,17.0,71.0,16.480827067669175,
2012-03-10 09:00:00,17.0,71.0,16.480827067669175,
2012-03-10 10:00:00,17.0,71.0,16.88157894736842,
2012-03-10 11:00:00,17.0,71.0,17.883458646616543,
2012-03-10 12:00:00,17.0,71.0,18.484586466165414,
2012-03-10 13:00:00,17.0,71.0,18.68496240601504,
2012-03-10 14:00:00,17.0,71.0,18.484586466165414,
2012-03-10 15:00:00,17.0,71.0,18.083834586466168,
2012-03-10 16:00:00,17.0,71.0,17.28233082706767,
2012-03-10 17:00:00,17.0,71.0,16.480827067669175,
2012-03-10 18:00:00,17.0,71.0,15.478947368421053,
2012-03-10 19:00:00,17.0,71.0,14.877819548872182,
2012-03-10 20:00:00,17.0,71.0,14.677443609022557,
2012-03-10 21:00:00,17.0,71.0,14.677443609022557,
2012-03-10 22:00:00,17.0,71.0,14.276691729323309,
2012-03-10 23:00:00,17.0,71.0,15.27857142857143,
2012-03-11 00:00:00,17.0,71.0,16.28045112781955,
2012-03-11 01:00:00,17.0,71.0,16.88157894736842,
2012-03-11 02:00:00,17.0,71.0,17.482706766917296,
2012-03-11 03:00:00,17.0,71.0,17.081954887218046,
2012-03-11 04:00:00,17.0,71.0,16.080075187969925,
2012-03-11 05:00:00,17.0,71.0,14.877819548872182,
2012-03-11 06:00:00,17.0,71.0,13.675563909774437,
2012-03-11 07:00:00,17.0,71.0,12.874060150375941,
2012-03-11 08:00:00,17.0,71.0,12.874060150375941,
2012-03-11 09:00:00,17.0,71.0,13.27481203007519,
2012-03-11 10:00:00,17.0,71.0,13.074436090225564,
