year,month,format,sst_mean,t2m_mean,d2m_mean,wind_speed_mean,deltaT_mean,n_hours
1987,04,grib,300.70916748046875,300.5749816894531,293.71197509765625,4.022454261779785,-0.1341539621353149,720
1987,05,grib,302.5033874511719,301.5604248046875,295.8661499023437,3.666961431503296,-0.9429813623428344,744
1987,06,grib,302.4860534667969,300.99908447265625,297.5370178222656,5.220130920410156,-1.4869935512542725,720
1987,07,nc,302.2662658691406,300.2235412597656,297.4772644042969,6.977311134338379,-2.042726516723633,744
1987,08,grib,301.5115661621094,299.7281494140625,297.2311096191406,6.60788631439209,-1.78345787525177,744
1987,09,grib,301.5872497558594,300.0542907714844,296.7260437011719,4.265529155731201,-1.5329574346542358,720
1987,10,grib,302.4471740722656,300.791015625,295.3105163574219,2.4214541912078857,-1.656156301498413,744
1987,11,grib,302.37939453125,300.3291320800781,293.2056884765625,3.02394962310791,-2.0502560138702397,720
1987,12,grib,301.0645446777344,298.4198913574219,290.90826416015625,3.654224634170532,-2.644648313522339,744
1988,01,nc,300.4487609863281,297.988525390625,289.956298828125,3.312773942947388,-2.46022367477417,744
1988,02,grib,300.3613586425781,298.14776611328125,290.1460266113281,3.6357176303863525,-2.2135841846466064,696
1988,03,grib,300.46405029296875,298.8940124511719,291.1419982910156,3.7783379554748535,-1.5700427293777466,744
1988,04,grib,301.65606689453125,300.97607421875,294.8041687011719,3.1751437187194824,-0.6799964308738708,720
1988,05,grib,302.7961730957031,301.96832275390625,296.5770568847656,4.70859432220459,-0.8278989195823669,744
1988,06,grib,302.7821655273437,301.0934753417969,297.71954345703125,5.40004825592041,-1.6887067556381226,720
1988,07,nc,302.24468994140625,299.8126220703125,297.4110717773437,7.602371215820312,-2.432044506072998,744
1988,08,grib,301.3137512207031,299.52276611328125,297.0501403808594,6.097225666046143,-1.7910038232803345,744
1988,09,grib,301.8094177246094,299.6856689453125,296.9496765136719,3.957295417785645,-2.123764991760254,720
1988,10,grib,301.8650817871094,300.0572814941406,294.0188293457031,3.354379653930664,-1.807831168174744,744
1988,11,grib,300.8895263671875,299.0893249511719,290.3658752441406,3.4875173568725586,-1.800233006477356,720
1988,12,grib,300.4010925292969,297.79156494140625,289.8939514160156,3.494675397872925,-2.6095378398895264,744
1989,01,nc,299.1954040527344,296.7349548339844,288.75982666015625,4.205091953277588,-2.460440397262573,744
1989,02,grib,299.42584228515625,297.4740600585937,288.2986755371094,4.567539215087891,-1.9517920017242432,672
1989,03,grib,299.6175231933594,298.613037109375,291.53338623046875,3.9311838150024414,-1.0044748783111572,744
1989,04,grib,301.0048522949219,300.4967956542969,293.4903259277344,3.9105641841888423,-0.5080578923225403,720
1989,05,grib,301.92071533203125,301.3667297363281,295.9947204589844,4.649783134460449,-0.5540066361427307,744
1989,06,grib,301.9051208496094,300.13323974609375,297.38818359375,5.901809215545654,-1.7718803882598877,720
1989,07,nc,300.9866943359375,299.4616394042969,296.9034423828125,7.172893524169922,-1.5250693559646606,744
1989,08,grib,300.15582275390625,298.7662658691406,296.3768615722656,7.01088809967041,-1.3895598649978638,744
1989,09,grib,300.98284912109375,299.157470703125,296.184326171875,3.40596866607666,-1.8254108428955078,720
1989,10,grib,302.24627685546875,300.38916015625,295.0623474121094,3.1859543323516846,-1.857132077217102,744
1989,11,grib,301.7199401855469,300.03302001953125,292.6372375488281,3.109623908996582,-1.6869062185287476,720
1989,12,grib,300.3968811035156,297.7137451171875,289.477783203125,3.3378453254699707,-2.68315052986145,744
1990,01,nc,299.7706604003906,297.976806640625,289.55377197265625,3.98000693321228,-1.7938616275787354,744
1990,02,grib,300.3026733398437,297.7996520996094,289.6681213378906,3.5897862911224365,-2.503007173538208,672
1990,03,grib,299.91778564453125,298.2618103027344,290.4720764160156,3.459559202194214,-1.655992865562439,744
1990,04,grib,300.7030944824219,299.95806884765625,293.8895263671875,3.9481852054595943,-0.7450234889984131,720
1990,05,grib,302.20269775390625,301.0487060546875,297.0838928222656,4.488419532775879,-1.1539992094039917,744
1990,06,grib,302.5650634765625,300.6940612792969,297.4286804199219,6.657149314880371,-1.870994448661804,720
1990,07,nc,300.9058532714844,299.4703063964844,296.8392944335937,8.52817153930664,-1.4355591535568235,744
1990,08,grib,299.8587341308594,298.69171142578125,296.505126953125,7.3155341148376465,-1.1670036315917969,744
1990,09,grib,300.9208679199219,298.9857788085937,296.1988830566406,4.7728190422058105,-1.9351040124893188,720
1990,10,grib,301.6907653808594,299.90789794921875,295.5543212890625,3.0079092979431152,-1.7828940153121948,744
1990,11,grib,301.6322631835937,299.70172119140625,293.3793334960937,3.311020851135254,-1.930508255958557,720
1990,12,grib,300.5226745605469,298.0802307128906,291.006103515625,3.556005954742432,-2.4424519538879395,744
1991,01,nc,299.06494140625,296.4081420898437,288.5370788574219,4.349090099334717,-2.6567790508270264,744
1991,02,grib,299.349365234375,297.20758056640625,288.9485778808594,3.973910331726074,-2.141779661178589,672
1991,03,grib,300.1277770996094,299.1606750488281,291.9650573730469,3.53387713432312,-0.9671249389648438,744
1991,04,grib,301.20025634765625,300.49072265625,294.8617553710937,3.363288402557373,-0.7095154523849487,720
